id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating
108687,boardgame,Puerto Rico: Limited Anniversary Edition,2011,2,5,90,90,90,13,2996,8.49935
164153,boardgame,Star Wars: Imperial Assault,2014,2,5,90,90,90,0,3980,8.43944
160069,boardgame,Ticket to Ride: 10th Anniversary,2014,2,5,60,30,60,8,2011,8.38106
115746,boardgame,War of the Ring (second edition),2012,2,4,150,150,150,13,3870,8.35044
12333,boardgame,Twilight Struggle,2005,2,2,180,180,180,13,20113,8.33774
102794,boardgame,Caverna: The Cave Farmers,2013,1,7,210,30,210,12,9262,8.28994
120677,boardgame,Terra Mystica,2012,2,5,150,60,150,12,14383,8.28798
25613,boardgame,Through the Ages: A Story of Civilization,2006,2,4,240,240,240,12,13294,8.20407
124742,boardgame,Android: Netrunner,2012,2,2,45,45,45,14,15281,8.1676
96848,boardgame,Mage Knight Board Game,2011,1,4,150,150,150,14,12697,8.15901
3076,boardgame,Puerto Rico,2002,2,5,150,90,150,12,39883,8.14261
31260,boardgame,Agricola,2007,1,5,150,30,150,12,39714,8.11957
121921,boardgame,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,180,90,180,14,10539,8.09283
72125,boardgame,Eclipse,2011,2,6,200,60,200,14,15709,8.07933
84876,boardgame,The Castles of Burgundy,2011,2,4,90,30,90,12,15461,8.07879
150376,boardgame,Dead of Winter: A Crossroads Game,2014,2,5,210,45,210,14,9188,8.05776
101721,boardgame,Mage Wars Arena,2012,2,2,90,90,90,13,4727,8.04424
91,boardgame,Paths of Glory,1999,2,2,480,480,480,14,3120,8.0381
28720,boardgame,Brass,2007,3,4,180,120,180,13,8785,8.03071
146652,boardgame,Legendary Encounters: An Alien Deck Building Game,2014,1,5,45,45,45,17,2829,8.01363
35677,boardgame,Le Havre,2008,1,5,200,100,200,12,15774,7.99115
2651,boardgame,Power Grid,2004,2,6,120,120,120,12,34422,7.9888
122515,boardgame,Keyflower,2012,2,6,120,90,120,12,6753,7.98786
126163,boardgame,Tzolk'in: The Mayan Calendar,2012,2,4,90,90,90,13,12143,7.98673
146021,boardgame,Eldritch Horror,2013,1,8,240,120,240,14,8388,7.97188
17392,boardgame,Here I Stand,2006,2,6,360,360,360,12,2612,7.95736
21050,boardgame,Combat Commander: Europe,2006,2,2,180,60,180,12,3786,7.94325
103885,boardgame,Star Wars: X-Wing Miniatures Game,2012,2,4,60,60,60,14,11194,7.93301
132531,boardgame,Roll for the Galaxy,2014,2,5,45,45,45,13,4632,7.92585
161970,boardgame,Alchemists,2014,2,4,120,120,120,14,4065,7.9095
18602,boardgame,Caylus,2005,2,5,150,60,150,12,19160,7.89829
62219,boardgame,Dominant Species,2010,2,6,240,120,240,14,10187,7.89276
12493,boardgame,Twilight Imperium (Third Edition),2005,3,6,240,180,240,12,12064,7.88473
243,boardgame,Advanced Squad Leader,1985,2,2,12000,180,12000,14,2628,7.88118
15985,boardgame,Blood Bowl: Living Rulebook,2004,2,2,120,120,120,12,2685,7.88086
68448,boardgame,7 Wonders,2010,2,7,30,30,30,10,36732,7.87047
128882,boardgame,The Resistance: Avalon,2012,5,10,30,30,30,13,9639,7.86147
126042,boardgame,Nations,2013,1,5,200,40,200,14,5546,7.86088
144733,boardgame,Russian Railroads,2013,2,4,120,90,120,12,5383,7.8579
40834,boardgame,Dominion: Intrigue,2009,2,4,30,30,30,13,19261,7.85479
155426,boardgame,Castles of Mad King Ludwig,2014,1,4,90,90,90,13,4989,7.85323
73171,boardgame,Earth Reborn,2010,2,4,180,180,180,13,2590,7.85222
9609,boardgame,War of the Ring (first edition),2004,2,4,180,180,180,12,8325,7.85143
124361,boardgame,Concordia,2013,2,5,100,100,100,13,4665,7.84719
157354,boardgame,Five Tribes,2014,2,4,80,40,80,13,7291,7.84675
163412,boardgame,Patchwork,2014,2,2,30,15,30,8,3042,7.84324
102680,boardgame,Trajan,2011,2,4,90,90,90,12,6871,7.84106
234,boardgame,Hannibal: Rome vs. Carthage,1996,2,2,200,40,200,12,3967,7.83611
93,boardgame,El Grande,1995,2,5,120,60,120,12,15853,7.83279
104162,boardgame,Descent: Journeys in the Dark (Second Edition),2012,2,5,120,120,120,14,9702,7.82949
14105,boardgame,Commands & Colors: Ancients,2006,2,2,60,60,60,12,6080,7.82838
37111,boardgame,Battlestar Galactica,2008,3,6,240,120,240,10,20833,7.82752
110327,boardgame,Lords of Waterdeep,2012,2,5,60,60,60,12,19864,7.82181
70149,boardgame,Ora et Labora,2011,1,4,150,150,150,13,6054,7.81642
128621,boardgame,Viticulture,2013,2,6,90,90,90,13,2872,7.81614
103343,boardgame,A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,120,240,14,11938,7.8099
521,boardgame,Crokinole,1876,2,4,30,30,30,8,6198,7.80539
2511,boardgame,Sherlock Holmes Consulting Detective,1981,1,8,120,60,120,10,4175,7.80287
28143,boardgame,Race for the Galaxy,2007,2,4,60,30,60,12,28655,7.80281
421,boardgame,1830: Railways & Robber Barons,1986,2,7,360,180,360,14,2876,7.79247
36218,boardgame,Dominion,2008,2,4,30,30,30,13,44319,7.77298
127023,boardgame,Kemet,2012,2,5,120,90,120,13,5252,7.77161
54138,boardgame,Imperial 2030,2009,2,6,120,120,120,12,3279,7.77096
59294,boardgame,Runewars,2010,2,4,180,180,180,14,5439,7.76638
154203,boardgame,Imperial Settlers,2014,1,4,90,45,90,10,5222,7.76455
42,boardgame,Tigris & Euphrates,1997,2,4,90,90,90,12,17762,7.7634
93260,boardgame,Summoner Wars: Master Set,2011,2,4,30,30,30,9,6859,7.75639
40765,boardgame,Clash of Cultures,2012,2,4,240,240,240,14,2933,7.74767
27833,boardgame,Steam,2009,3,5,90,90,90,10,6827,7.7407
73439,boardgame,Troyes,2010,2,4,90,90,90,12,8915,7.73993
123260,boardgame,Suburbia,2012,1,4,90,90,90,8,9775,7.73519
147020,boardgame,Star Realms,2014,2,2,20,20,20,12,8821,7.73391
875,boardgame,Roads & Boats,1999,1,4,240,240,240,14,2113,7.73028
4098,boardgame,Age of Steam,2002,1,6,120,120,120,13,6112,7.72862
144592,boardgame,Bruxelles 1893,2013,2,5,125,50,125,13,2024,7.71912
17133,boardgame,Railways of the World,2005,2,6,120,120,120,10,8530,7.71693
19777,boardgame,Indonesia,2005,2,5,240,180,240,14,2217,7.71284
188,boardgame,Go,-2200,2,2,90,90,90,8,9654,7.70531
140620,boardgame,Lewis & Clark,2013,1,5,120,120,120,14,5617,7.70408
43111,boardgame,Chaos in the Old World,2009,3,4,120,60,120,13,9049,7.70053
9216,boardgame,Goa,2004,2,4,90,90,90,12,8663,7.69691
105134,boardgame,Risk Legacy,2011,3,5,60,60,60,13,3976,7.68888
36932,boardgame,Claustrophobia,2009,2,2,45,45,45,14,4588,7.68159
31627,boardgame,Ticket to Ride: Nordic Countries,2007,2,3,60,30,60,8,6147,7.68075
1,boardgame,Die Macher,1986,3,5,240,240,240,14,4215,7.67833
127060,boardgame,Bora Bora,2013,2,4,120,60,120,12,4662,7.66816
24181,boardgame,Imperial,2006,2,6,120,120,120,13,6557,7.66074
30549,boardgame,Pandemic,2007,2,4,45,45,45,8,43788,7.65991
7854,boardgame,YINSH,2003,2,2,30,30,30,9,4471,7.65777
215,boardgame,Tichu,1991,3,6,60,60,60,10,8996,7.65161
34635,boardgame,Stone Age,2008,2,4,90,60,90,10,23492,7.65109
79127,boardgame,Star Trek: Fleet Captains,2011,2,4,75,75,75,14,2328,7.65049
77423,boardgame,The Lord of the Rings: The Card Game,2011,1,2,60,60,60,13,11174,7.64644
